,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
512,4757.523,49.47,49.9,90.0,,43.85
513,4757.673,49.51,49.9,90.0,56.79,43.82
514,4757.823,49.59,49.91,90.0,,43.79
515,4757.973,49.64,49.92,90.0,,43.77
516,4758.123,49.71,49.93,90.0,,43.74
517,4758.273,49.82,49.95,90.0,57.12,43.71
518,4758.423,49.9,49.98,90.0,,43.69
519,4758.573,49.98,50.0,90.0,,43.66
520,4758.723,50.1,50.03,90.0,,43.63
521,4758.873,50.19,50.07,90.0,57.22,43.6
522,5002.02,,,,57.46,
523,4759.023,50.28,50.1,90.0,,43.57
524,4759.173,50.42,50.14,90.0,,43.54
525,4759.323,50.51,50.19,90.0,,43.51
526,4759.473,50.61,50.24,90.0,57.66,43.49
527,4759.623,50.71,50.28,90.0,,43.47
528,4759.773,50.83,50.33,90.0,,43.44
529,4759.923,50.93,50.38,90.0,,43.41
530,4760.073,51.02,50.44,90.0,57.91,43.38
531,5007.549,,,,58.2,
532,4760.223,51.13,50.49,90.0,,43.34
533,4760.373,51.22,50.54,90.0,,43.32
534,4760.523,51.31,50.6,90.0,,43.29
535,4760.673,51.43,50.65,90.0,58.38,43.26
536,4760.823,51.52,50.71,90.0,,43.25
537,4760.973,51.6,50.76,90.0,,43.22
538,4761.123,51.7,50.82,90.0,,43.2
539,4761.273,51.78,50.87,90.0,,43.17
540,4761.423,51.85,50.92,90.0,58.6,43.15
541,4761.573,51.96,50.97,90.0,,43.12
542,5014.185,,,,58.82,
543,4761.723,52.03,51.03,90.0,,43.1
544,4761.873,52.11,51.08,90.0,,43.07
545,4762.023,52.2,51.13,90.0,59.1,43.05
546,4762.173,52.27,51.19,90.0,,43.03
547,4762.323,52.35,51.24,90.0,,43.01
548,4762.473,52.45,51.29,90.0,,42.99
549,4762.623,52.51,51.34,90.0,59.21,42.97
550,4762.773,52.58,51.39,90.0,,42.95
551,4762.923,52.68,51.45,90.0,,42.94
552,4763.073,52.76,51.5,90.0,,42.92
553,4763.223,52.83,51.55,90.0,59.54,42.9
554,4763.373,52.92,51.61,90.0,,42.87
555,4763.523,52.98,51.66,90.0,,42.85
556,4763.673,53.06,51.71,90.0,,42.82
557,4763.823,53.14,51.77,90.0,59.65,42.78
558,4763.973,53.21,51.82,90.0,,42.76
559,4764.123,53.27,51.87,90.0,,42.74
560,4764.273,53.37,51.93,90.0,,42.72
561,4764.423,53.42,51.98,90.0,59.85,42.7
562,4764.573,53.48,52.03,90.0,,42.69
563,4764.723,53.57,52.08,90.0,,42.66
564,4764.873,53.63,52.13,90.0,,42.64
565,4765.023,53.71,52.19,90.0,60.07,42.63
566,4765.173,53.78,52.24,90.0,,42.61
567,4765.323,53.85,52.29,90.0,,42.59
568,4765.473,53.92,52.35,90.0,,42.57
569,4765.623,54.02,52.4,90.0,60.3,42.54
570,4765.773,54.07,52.46,90.0,,42.52
571,4765.923,54.13,52.51,90.0,,42.51
572,4766.073,54.2,52.56,90.0,,42.49
573,4766.223,54.26,52.61,90.0,60.6,42.47
